Member id,SEC,FEH,MT,SEX,AGE,EDU,HS,CHILD,CS,Affluence Index,No. of Brands,Brand Runs,Total Volume,No. of  Trans,Value,Trans / Brand Runs,Vol/Tran,Avg. Price,Pur Vol No Promo - %,Pur Vol Promo 6 %,Pur Vol Other Promo %,"Br. Cd. 57, 144",Br. Cd. 55,Br. Cd. 272,Br. Cd. 286,Br. Cd. 24,Br. Cd. 481,Br. Cd. 352,Br. Cd. 5,Others 999,Pr Cat 1,Pr Cat 2,Pr Cat 3,Pr Cat 4,PropCat 5,PropCat 6,PropCat 7,PropCat 8,PropCat 9,PropCat 10,PropCat 11,PropCat 12,PropCat 13,PropCat 14,PropCat 15
1010010.00,4.00,3.00,10.00,1.00,4.00,4.00,2.00,4.00,1.00,2.00,3.00,17.00,8025.00,24.00,818.00,1.41,334.38,10.19,1.00,0.00,0.00,0.38,0.13,0.00,0.00,0.00,0.00,0.00,0.00,0.49,0.23,0.56,0.13,0.07,0.50,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.00,0.13,0.34
1010020.00,3.00,2.00,10.00,2.00,2.00,4.00,4.00,2.00,1.00,19.00,5.00,25.00,13975.00,40.00,1681.50,1.60,349.38,12.03,0.89,0.10,0.02,0.02,0.08,0.00,0.00,0.00,0.06,0.00,0.14,0.70,0.29,0.55,0.09,0.06,0.46,0.35,0.03,0.02,0.01,0.00,0.06,0.00,0.00,0.08,0.00
1014020.00,2.00,3.00,10.00,2.00,4.00,5.00,6.00,4.00,1.00,23.00,5.00,37.00,23100.00,63.00,1950.00,1.70,366.67,8.44,0.94,0.02,0.04,0.03,0.55,0.00,0.03,0.00,0.00,0.00,0.02,0.38,0.12,0.32,0.56,0.00,0.24,0.12,0.03,0.01,0.01,0.00,0.00,0.02,0.00,0.56,0.00
1014030.00,4.00,0.00,0.00,0.00,4.00,0.00,0.00,5.00,0.00,0.00,2.00,4.00,1500.00,4.00,114.00,1.00,375.00,7.60,1.00,0.00,0.00,0.40,0.60,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.40,0.60,0.00,0.40,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.60,0.00
1014190.00,4.00,1.00,10.00,2.00,3.00,4.00,4.00,3.00,1.00,10.00,3.00,6.00,8300.00,13.00,591.00,2.17,638.46,7.12,0.61,0.14,0.24,0.05,0.14,0.00,0.00,0.00,0.00,0.00,0.00,0.81,0.00,0.05,0.14,0.81,0.81,0.00,0.00,0.05,0.00,0.00,0.00,0.00,0.00,0.14,0.00
1017020.00,4.00,3.00,10.00,2.00,3.00,4.00,5.00,2.00,1.00,13.00,3.00,26.00,18175.00,41.00,1705.50,1.58,443.29,9.38,1.00,0.00,0.00,0.08,0.07,0.00,0.00,0.00,0.00,0.00,0.00,0.86,0.22,0.45,0.07,0.27,0.49,0.10,0.00,0.01,0.07,0.00,0.00,0.00,0.00,0.07,0.27
1017110.00,4.00,2.00,10.00,2.00,4.00,1.00,3.00,2.00,1.00,11.00,4.00,17.00,9950.00,26.00,1007.50,1.53,382.69,10.13,0.98,0.02,0.00,0.45,0.05,0.01,0.00,0.00,0.00,0.00,0.00,0.50,0.07,0.66,0.05,0.23,0.82,0.00,0.02,0.01,0.00,0.00,0.00,0.00,0.00,0.05,0.10
1017160.00,4.00,3.00,10.00,2.00,2.00,4.00,5.00,3.00,0.00,0.00,3.00,8.00,9300.00,25.00,569.50,3.13,372.00,6.12,0.94,0.00,0.06,0.04,0.79,0.00,0.00,0.00,0.00,0.00,0.00,0.17,0.04,0.04,0.90,0.02,0.06,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.90,0.03
1017360.00,4.00,3.00,10.00,2.00,4.00,4.00,6.00,4.00,1.00,17.00,2.00,12.00,26490.00,27.00,3113.50,2.25,981.11,11.75,0.90,0.10,0.00,0.39,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.62,0.11,0.89,0.00,0.00,0.70,0.28,0.00,0.00,0.02,0.00,0.00,0.00,0.00,0.00,0.00
1017460.00,1.00,3.00,5.00,1.00,4.00,7.00,3.00,4.00,1.00,6.00,4.00,13.00,7455.00,18.00,990.50,1.38,414.17,13.29,1.00,0.00,0.00,0.07,0.12,0.00,0.00,0.00,0.00,0.00,0.40,0.41,0.61,0.10,0.12,0.17,0.24,0.46,0.15,0.00,0.00,0.00,0.00,0.00,0.00,0.12,0.03
1017490.00,4.00,3.00,10.00,2.00,4.00,4.00,6.00,4.00,1.00,30.00,4.00,24.00,16275.00,42.00,1555.50,1.75,387.50,9.56,0.82,0.17,0.01,0.02,0.00,0.00,0.00,0.00,0.03,0.00,0.00,0.94,0.24,0.15,0.00,0.60,0.79,0.00,0.12,0.00,0.04,0.01,0.03,0.00,0.00,0.00,0.02
1020070.00,3.00,3.00,10.00,2.00,1.00,4.00,5.00,4.00,1.00,18.00,4.00,21.00,13875.00,61.00,1547.75,2.90,227.46,11.15,0.99,0.01,0.00,0.34,0.08,0.00,0.00,0.00,0.00,0.06,0.00,0.52,0.41,0.52,0.08,0.00,0.44,0.00,0.42,0.00,0.04,0.00,0.00,0.00,0.00,0.08,0.02
1020210.00,4.00,3.00,17.00,2.00,3.00,3.00,4.00,3.00,2.00,8.00,3.00,9.00,20675.00,26.00,1538.00,2.89,795.19,7.44,1.00,0.00,0.00,0.03,0.00,0.00,0.00,0.00,0.01,0.00,0.00,0.96,0.06,0.03,0.00,0.91,0.98,0.01,0.00,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.00
1024050.00,4.00,3.00,17.00,2.00,3.00,3.00,6.00,4.00,1.00,10.00,4.00,10.00,15450.00,28.00,1275.50,2.80,551.79,8.26,1.00,0.00,0.00,0.37,0.32,0.00,0.00,0.00,0.00,0.09,0.00,0.22,0.00,0.49,0.32,0.19,0.59,0.00,0.09,0.00,0.00,0.00,0.00,0.00,0.00,0.32,0.00
1024100.00,3.00,1.00,13.00,2.00,4.00,3.00,6.00,4.00,1.00,15.00,2.00,8.00,9150.00,25.00,917.00,3.13,366.00,10.02,1.00,0.00,0.00,0.39,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.61,0.03,0.68,0.08,0.21,0.63,0.00,0.05,0.00,0.00,0.00,0.00,0.00,0.00,0.08,0.24
1024120.00,4.00,3.00,10.00,2.00,4.00,3.00,5.00,1.00,2.00,13.00,4.00,19.00,16050.00,50.00,1518.00,2.63,321.00,9.46,1.00,0.00,0.00,0.18,0.19,0.00,0.00,0.00,0.00,0.27,0.00,0.36,0.08,0.65,0.19,0.07,0.42,0.02,0.29,0.00,0.07,0.00,0.00,0.01,0.00,0.19,0.00
1024220.00,4.00,3.00,10.00,2.00,4.00,3.00,4.00,4.00,0.00,11.00,7.00,28.00,19150.00,38.00,1914.00,1.36,503.95,9.99,0.89,0.05,0.06,0.08,0.11,0.09,0.09,0.00,0.00,0.03,0.02,0.56,0.09,0.62,0.11,0.18,0.49,0.02,0.07,0.12,0.03,0.00,0.00,0.00,0.00,0.11,0.16
1024400.00,4.00,3.00,10.00,2.00,4.00,1.00,6.00,2.00,0.00,4.00,4.00,13.00,14625.00,31.00,1395.00,2.38,471.77,9.54,1.00,0.00,0.00,0.61,0.19,0.00,0.00,0.00,0.03,0.00,0.00,0.17,0.03,0.70,0.19,0.07,0.71,0.03,0.00,0.00,0.03,0.00,0.03,0.00,0.00,0.19,0.00
1024630.00,4.00,3.00,17.00,2.00,3.00,4.00,5.00,2.00,1.00,14.00,3.00,12.00,14400.00,21.00,1308.50,1.75,685.71,9.09,0.92,0.08,0.00,0.35,0.06,0.00,0.00,0.00,0.00,0.00,0.00,0.58,0.00,0.54,0.06,0.40,0.86,0.03,0.00,0.05,0.00,0.00,0.00,0.00,0.00,0.06,0.00
1025070.00,3.00,0.00,0.00,0.00,2.00,0.00,0.00,5.00,0.00,0.00,2.00,4.00,675.00,4.00,123.50,1.00,168.75,18.30,0.33,0.67,0.00,0.00,0.00,0.00,0.00,0.11,0.00,0.00,0.00,0.89,1.00,0.00,0.00,0.00,0.00,0.00,0.22,0.00,0.00,0.33,0.00,0.33,0.11,0.00,0.00
1025140.00,4.00,0.00,0.00,0.00,2.00,0.00,0.00,5.00,0.00,0.00,2.00,4.00,6400.00,8.00,368.00,2.00,800.00,5.75,0.58,0.00,0.42,0.00,0.94,0.00,0.00,0.00,0.00,0.00,0.00,0.06,0.00,0.00,0.94,0.06,0.06,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.94,0.00
1025210.00,2.00,3.00,17.00,2.00,2.00,5.00,5.00,2.00,1.00,4.00,3.00,3.00,7550.00,26.00,434.00,8.67,290.38,5.75,0.96,0.00,0.04,0.01,0.97,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.01,0.97,0.01,0.03,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.97,0.00
1027040.00,4.00,3.00,10.00,2.00,3.00,4.00,7.00,4.00,1.00,11.00,3.00,4.00,32000.00,27.00,1864.00,6.75,1185.19,5.83,0.95,0.01,0.05,0.00,0.98,0.00,0.00,0.00,0.01,0.00,0.00,0.01,0.01,0.01,0.98,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.00,0.98,0.00
1027160.00,3.00,0.00,0.00,0.00,3.00,0.00,0.00,5.00,0.00,0.00,3.00,3.00,1600.00,4.00,111.00,1.33,400.00,6.94,1.00,0.00,0.00,0.19,0.75,0.00,0.00,0.00,0.00,0.00,0.00,0.06,0.06,0.19,0.75,0.00,0.19,0.00,0.00,0.00,0.06,0.00,0.00,0.00,0.00,0.75,0.00
1027210.00,4.00,0.00,0.00,0.00,3.00,0.00,0.00,5.00,0.00,0.00,3.00,5.00,2825.00,5.00,300.00,1.00,565.00,10.62,1.00,0.00,0.00,0.00,0.53,0.32,0.00,0.00,0.00,0.00,0.00,0.15,0.15,0.32,0.53,0.00,0.00,0.00,0.08,0.32,0.07,0.00,0.00,0.00,0.00,0.53,0.00
